Pokemon,Category,Type 1,Type 2,Height (m),Weight (kg)
Purugly,Tiger Cat Pokémon,Normal,,1.0 m,43.8 kg
Chingling,Bell Pokémon,Psychic,,0.2 m,0.6 kg
Stunky,Skunk Pokémon,Poison,Dark,0.4 m,19.2 kg
Skuntank,Skunk Pokémon,Poison,Dark,1.0 m,38.0 kg
Bronzor,Bronze Pokémon,Steel,Psychic,0.5 m,60.5 kg
Bronzong,Bronze Bell Pokémon,Steel,Psychic,1.3 m,187.0 kg
Bonsly,Bonsai Pokémon,Rock,,0.5 m,15.0 kg
Mime Jr.,Mime Pokémon,Psychic,Fairy,0.6 m,13.0 kg
Happiny,Playhouse Pokémon,Normal,,0.6 m,24.4 kg
Chatot,Music Note Pokémon,Normal,Flying,0.5 m,1.9 kg
Spiritomb,Forbidden Pokémon,Ghost,Dark,1.0 m,108.0 kg
Gible,Land Shark Pokémon,Dragon,Ground,0.7 m,20.5 kg
Gabite,Cave Pokémon,Dragon,Ground,1.4 m,56.0 kg
Garchomp,Mach Pokémon,Dragon,Ground,1.9 m,95.0 kg
Garchomp,Mach Pokémon,Dragon,Ground,1.9 m,95.0 kg
Munchlax,Big Eater Pokémon,Normal,,0.6 m,105.0 kg
Riolu,Emanation Pokémon,Fighting,,0.7 m,20.2 kg
Lucario,Aura Pokémon,Fighting,Steel,1.2 m,54.0 kg
Lucario,Aura Pokémon,Fighting,Steel,1.2 m,54.0 kg
Hippopotas,Hippo Pokémon,Ground,,0.8 m,49.5 kg
Hippowdon,Heavyweight Pokémon,Ground,,2.0 m,300.0 kg
Skorupi,Scorpion Pokémon,Poison,Bug,0.8 m,12.0 kg
Drapion,Ogre Scorpion Pokémon,Poison,Dark,1.3 m,61.5 kg
Croagunk,Toxic Mouth Pokémon,Poison,Fighting,0.7 m,23.0 kg
Toxicroak,Toxic Mouth Pokémon,Poison,Fighting,1.3 m,44.4 kg
Carnivine,Bug Catcher Pokémon,Grass,,1.4 m,27.0 kg
Finneon,Wing Fish Pokémon,Water,,0.4 m,7.0 kg
Lumineon,Neon Pokémon,Water,,1.2 m,24.0 kg
Mantyke,Kite Pokémon,Water,Flying,1.0 m,65.0 kg
Snover,Frost Tree Pokémon,Grass,Ice,1.0 m,50.5 kg
Abomasnow,Frost Tree Pokémon,Grass,Ice,2.2 m,135.5 kg
Abomasnow,Frost Tree Pokémon,Grass,Ice,2.2 m,135.5 kg
Weavile,Sharp Claw Pokémon,Dark,Ice,1.1 m,34.0 kg
Magnezone,Magnet Area Pokémon,Electric,Steel,1.2 m,180.0 kg
Lickilicky,Licking Pokémon,Normal,,1.7 m,140.0 kg
Rhyperior,Drill Pokémon,Ground,Rock,2.4 m,282.8 kg
Tangrowth,Vine Pokémon,Grass,,2.0 m,128.6 kg
Electivire,Thunderbolt Pokémon,Electric,,1.8 m,138.6 kg
Magmortar,Blast Pokémon,Fire,,1.6 m,68.0 kg
Togekiss,Jubilee Pokémon,Fairy,Flying,1.5 m,38.0 kg
Yanmega,Ogre Darner Pokémon,Bug,Flying,1.9 m,51.5 kg
Leafeon,Verdant Pokémon,Grass,,1.0 m,25.5 kg
Glaceon,Fresh Snow Pokémon,Ice,,0.8 m,25.9 kg
Gliscor,Fang Scorpion Pokémon,Ground,Flying,2.0 m,42.5 kg
Mamoswine,Twin Tusk Pokémon,Ice,Ground,2.5 m,291.0 kg
Porygon-Z,Virtual Pokémon,Normal,,0.9 m,34.0 kg
Gallade,Blade Pokémon,Psychic,Fighting,1.6 m,52.0 kg
Gallade,Blade Pokémon,Psychic,Fighting,1.6 m,52.0 kg
Probopass,Compass Pokémon,Rock,Steel,1.4 m,340.0 kg
Dusknoir,Gripper Pokémon,Ghost,,2.2 m,106.6 kg
Froslass,Snow Land Pokémon,Ice,Ghost,1.3 m,26.6 kg
Froslass,Snow Land Pokémon,Ice,Ghost,1.3 m,26.6 kg
Rotom,Plasma Pokémon,Electric,Ghost,0.3 m,0.3 kg
Rotom,Plasma Pokémon,Electric,Ghost,0.3 m,0.3 kg
Rotom,Plasma Pokémon,Electric,Ghost,0.3 m,0.3 kg
Rotom,Plasma Pokémon,Electric,Ghost,0.3 m,0.3 kg
Rotom,Plasma Pokémon,Electric,Ghost,0.3 m,0.3 kg
Rotom,Plasma Pokémon,Electric,Ghost,0.3 m,0.3 kg
Uxie,Knowledge Pokémon,Psychic,,0.3 m,0.3 kg
Mesprit,Emotion Pokémon,Psychic,,0.3 m,0.3 kg
Azelf,Willpower Pokémon,Psychic,,0.3 m,0.3 kg
Dialga,Temporal Pokémon,Steel,Dragon,5.4 m,683.0 kg
Dialga,Temporal Pokémon,Steel,Dragon,5.4 m,683.0 kg
Palkia,Spatial Pokémon,Water,Dragon,4.2 m,336.0 kg
