Pokemon,Category,Type 1,Type 2,Height (m),Weight (kg)
Absol,Disaster Pokémon,Dark,,1.2 m,47.0 kg
Wynaut,Bright Pokémon,Psychic,,0.6 m,14.0 kg
Snorunt,Snow Hat Pokémon,Ice,,0.7 m,16.8 kg
Glalie,Face Pokémon,Ice,,1.5 m,256.5 kg
Glalie,Face Pokémon,Ice,,1.5 m,256.5 kg
Spheal,Clap Pokémon,Ice,Water,0.8 m,39.5 kg
Sealeo,Ball Roll Pokémon,Ice,Water,1.1 m,87.6 kg
Walrein,Ice Break Pokémon,Ice,Water,1.4 m,150.6 kg
Clamperl,Bivalve Pokémon,Water,,0.4 m,52.5 kg
Huntail,Deep Sea Pokémon,Water,,1.7 m,27.0 kg
Gorebyss,South Sea Pokémon,Water,,1.8 m,22.6 kg
Relicanth,Longevity Pokémon,Water,Rock,1.0 m,23.4 kg
Luvdisc,Rendezvous Pokémon,Water,,0.6 m,8.7 kg
Bagon,Rock Head Pokémon,Dragon,,0.6 m,42.1 kg
Shelgon,Endurance Pokémon,Dragon,,1.1 m,110.5 kg
Salamence,Dragon Pokémon,Dragon,Flying,1.5 m,102.6 kg
Salamence,Dragon Pokémon,Dragon,Flying,1.5 m,102.6 kg
Beldum,Iron Ball Pokémon,Steel,Psychic,0.6 m,95.2 kg
Metang,Iron Claw Pokémon,Steel,Psychic,1.2 m,202.5 kg
Metagross,Iron Leg Pokémon,Steel,Psychic,1.6 m,550.0 kg
Metagross,Iron Leg Pokémon,Steel,Psychic,1.6 m,550.0 kg
Regirock,Rock Peak Pokémon,Rock,,1.7 m,230.0 kg
Regice,Iceberg Pokémon,Ice,,1.8 m,175.0 kg
Registeel,Iron Pokémon,Steel,,1.9 m,205.0 kg
Latias,Eon Pokémon,Dragon,Psychic,1.4 m,40.0 kg
Latias,Eon Pokémon,Dragon,Psychic,1.4 m,40.0 kg
Latios,Eon Pokémon,Dragon,Psychic,2.0 m,60.0 kg
Latios,Eon Pokémon,Dragon,Psychic,2.0 m,60.0 kg
Kyogre,Sea Basin Pokémon,Water,,4.5 m,352.0 kg
Kyogre,Sea Basin Pokémon,Water,,4.5 m,352.0 kg
Groudon,Continent Pokémon,Ground,,3.5 m,950.0 kg
Groudon,Continent Pokémon,Ground,,3.5 m,950.0 kg
Rayquaza,Sky High Pokémon,Dragon,Flying,7.0 m,206.5 kg
Rayquaza,Sky High Pokémon,Dragon,Flying,7.0 m,206.5 kg
Jirachi,Wish Pokémon,Steel,Psychic,0.3 m,1.1 kg
Deoxys,DNA Pokémon,Psychic,,1.7 m,60.8 kg
Deoxys,DNA Pokémon,Psychic,,1.7 m,60.8 kg
Deoxys,DNA Pokémon,Psychic,,1.7 m,60.8 kg
Deoxys,DNA Pokémon,Psychic,,1.7 m,60.8 kg
Turtwig,Tiny Leaf Pokémon,Grass,,0.4 m,10.2 kg
Grotle,Grove Pokémon,Grass,,1.1 m,97.0 kg
Torterra,Continent Pokémon,Grass,Ground,2.2 m,310.0 kg
Chimchar,Chimp Pokémon,Fire,,0.5 m,6.2 kg
Monferno,Playful Pokémon,Fire,Fighting,0.9 m,22.0 kg
Infernape,Flame Pokémon,Fire,Fighting,1.2 m,55.0 kg
Piplup,Penguin Pokémon,Water,,0.4 m,5.2 kg
Prinplup,Penguin Pokémon,Water,,0.8 m,23.0 kg
Empoleon,Emperor Pokémon,Water,Steel,1.7 m,84.5 kg
Starly,Starling Pokémon,Normal,Flying,0.3 m,2.0 kg
Staravia,Starling Pokémon,Normal,Flying,0.6 m,15.5 kg
Staraptor,Predator Pokémon,Normal,Flying,1.2 m,24.9 kg
Bidoof,Plump Mouse Pokémon,Normal,,0.5 m,20.0 kg
Bibarel,Beaver Pokémon,Normal,Water,1.0 m,31.5 kg
Kricketot,Cricket Pokémon,Bug,,0.3 m,2.2 kg
Kricketune,Cricket Pokémon,Bug,,1.0 m,25.5 kg
Shinx,Flash Pokémon,Electric,,0.5 m,9.5 kg
Luxio,Spark Pokémon,Electric,,0.9 m,30.5 kg
Luxray,Gleam Eyes Pokémon,Electric,,1.4 m,42.0 kg
Budew,Bud Pokémon,Grass,Poison,0.2 m,1.2 kg
Roserade,Bouquet Pokémon,Grass,Poison,0.9 m,14.5 kg
Cranidos,Head Butt Pokémon,Rock,,0.9 m,31.5 kg
Rampardos,Head Butt Pokémon,Rock,,1.6 m,102.5 kg
Shieldon,Shield Pokémon,Rock,Steel,0.5 m,57.0 kg
Bastiodon,Shield Pokémon,Rock,Steel,1.3 m,149.5 kg
Burmy,Bagworm Pokémon,Bug,,0.2 m,3.4 kg
Wormadam,Bagworm Pokémon,Bug,Grass,0.5 m,6.5 kg
Wormadam,Bagworm Pokémon,Bug,Grass,0.5 m,6.5 kg
Wormadam,Bagworm Pokémon,Bug,Grass,0.5 m,6.5 kg
Mothim,Moth Pokémon,Bug,Flying,0.9 m,23.3 kg
Combee,Tiny Bee Pokémon,Bug,Flying,0.3 m,5.5 kg
Vespiquen,Beehive Pokémon,Bug,Flying,1.2 m,38.5 kg
Pachirisu,EleSquirrel Pokémon,Electric,,0.4 m,3.9 kg
Buizel,Sea Weasel Pokémon,Water,,0.7 m,29.5 kg
Floatzel,Sea Weasel Pokémon,Water,,1.1 m,33.5 kg
Cherubi,Cherry Pokémon,Grass,,0.4 m,3.3 kg
Cherrim,Blossom Pokémon,Grass,,0.5 m,9.3 kg
Shellos,Sea Slug Pokémon,Water,,0.3 m,6.3 kg
Gastrodon,Sea Slug Pokémon,Water,Ground,0.9 m,29.9 kg
Ambipom,Long Tail Pokémon,Normal,,1.2 m,20.3 kg
Drifloon,Balloon Pokémon,Ghost,Flying,0.4 m,1.2 kg
Drifblim,Blimp Pokémon,Ghost,Flying,1.2 m,15.0 kg
Buneary,Rabbit Pokémon,Normal,,0.4 m,5.5 kg
Lopunny,Rabbit Pokémon,Normal,,1.2 m,33.3 kg
Lopunny,Rabbit Pokémon,Normal,,1.2 m,33.3 kg
Mismagius,Magical Pokémon,Ghost,,0.9 m,4.4 kg
