Pokemon,Category,Type 1,Type 2,Height (m),Weight (kg)
Vulpix,Fox Pokémon,Fire,,0.6 m,9.9 kg
Ninetales,Fox Pokémon,Fire,,1.1 m,19.9 kg
Ninetales,Fox Pokémon,Fire,,1.1 m,19.9 kg
Jigglypuff,Balloon Pokémon,Normal,Fairy,0.5 m,5.5 kg
Wigglytuff,Balloon Pokémon,Normal,Fairy,1.0 m,12.0 kg
Zubat,Bat Pokémon,Poison,Flying,0.8 m,7.5 kg
Golbat,Bat Pokémon,Poison,Flying,1.6 m,55.0 kg
Oddish,Weed Pokémon,Grass,Poison,0.5 m,5.4 kg
Gloom,Weed Pokémon,Grass,Poison,0.8 m,8.6 kg
Vileplume,Flower Pokémon,Grass,Poison,1.2 m,18.6 kg
Paras,Mushroom Pokémon,Bug,Grass,0.3 m,5.4 kg
Parasect,Mushroom Pokémon,Bug,Grass,1.0 m,29.5 kg
Venonat,Insect Pokémon,Bug,Poison,1.0 m,30.0 kg
Venomoth,Poison Moth Pokémon,Bug,Poison,1.5 m,12.5 kg
Diglett,Mole Pokémon,Ground,,0.2 m,0.8 kg
Diglett,Mole Pokémon,Ground,,0.2 m,0.8 kg
Dugtrio,Mole Pokémon,Ground,,0.7 m,33.3 kg
Dugtrio,Mole Pokémon,Ground,,0.7 m,33.3 kg
Meowth,Scratch Cat Pokémon,Normal,,0.4 m,4.2 kg
Meowth,Scratch Cat Pokémon,Normal,,0.4 m,4.2 kg
Meowth,Scratch Cat Pokémon,Normal,,0.4 m,4.2 kg
Persian,Classy Cat Pokémon,Normal,,1.0 m,32.0 kg
Persian,Classy Cat Pokémon,Normal,,1.0 m,32.0 kg
Psyduck,Duck Pokémon,Water,,0.8 m,19.6 kg
Golduck,Duck Pokémon,Water,,1.7 m,76.6 kg
Mankey,Pig Monkey Pokémon,Fighting,,0.5 m,28.0 kg
Primeape,Pig Monkey Pokémon,Fighting,,1.0 m,32.0 kg
Growlithe,"Puppy Pokémon
Scout Pokémon",Fire,,0.7 m,19.0 kg
Growlithe,"Puppy Pokémon
Scout Pokémon",Fire,,0.7 m,19.0 kg
Arcanine,Legendary Pokémon,Fire,,1.9 m,155.0 kg
Arcanine,Legendary Pokémon,Fire,,1.9 m,155.0 kg
Poliwag,Tadpole Pokémon,Water,,0.6 m,12.4 kg
Poliwhirl,Tadpole Pokémon,Water,,1.0 m,20.0 kg
Poliwrath,Tadpole Pokémon,Water,Fighting,1.3 m,54.0 kg
Abra,Psi Pokémon,Psychic,,0.9 m,19.5 kg
Kadabra,Psi Pokémon,Psychic,,1.3 m,56.5 kg
Alakazam,Psi Pokémon,Psychic,,1.5 m,48.0 kg
Alakazam,Psi Pokémon,Psychic,,1.5 m,48.0 kg
Machop,Superpower Pokémon,Fighting,,0.8 m,19.5 kg
Machoke,Superpower Pokémon,Fighting,,1.5 m,70.5 kg
Machamp,Superpower Pokémon,Fighting,,1.6 m,130.0 kg
Bellsprout,Flower Pokémon,Grass,Poison,0.7 m,4.0 kg
Weepinbell,Flycatcher Pokémon,Grass,Poison,1.0 m,6.4 kg
Victreebel,Flycatcher Pokémon,Grass,Poison,1.7 m,15.5 kg
Victreebel,Flycatcher Pokémon,Grass,Poison,1.7 m,15.5 kg
Tentacool,Jellyfish Pokémon,Water,Poison,0.9 m,45.5 kg
Tentacruel,Jellyfish Pokémon,Water,Poison,1.6 m,55.0 kg
Geodude,Rock Pokémon,Rock,Ground,0.4 m,20.0 kg
Geodude,Rock Pokémon,Rock,Ground,0.4 m,20.0 kg
Graveler,Rock Pokémon,Rock,Ground,1.0 m,105.0 kg
