Pokemon,Category,Type 1,Type 2,Height (m),Weight (kg)
Aipom,Long Tail Pokémon,Normal,,0.8 m,11.5 kg
Sunkern,Seed Pokémon,Grass,,0.3 m,1.8 kg
Sunflora,Sun Pokémon,Grass,,0.8 m,8.5 kg
Yanma,Clear Wing Pokémon,Bug,Flying,1.2 m,38.0 kg
Wooper,"Water Fish Pokémon
Poison Fish Pokémon",Water,Ground,0.4 m,8.5 kg
Wooper,"Water Fish Pokémon
Poison Fish Pokémon",Water,Ground,0.4 m,8.5 kg
Quagsire,Water Fish Pokémon,Water,Ground,1.4 m,75.0 kg
Espeon,Sun Pokémon,Psychic,,0.9 m,26.5 kg
Umbreon,Moonlight Pokémon,Dark,,1.0 m,27.0 kg
Murkrow,Darkness Pokémon,Dark,Flying,0.5 m,2.1 kg
Slowking,"Royal Pokémon
Hexpert Pokémon",Water,Psychic,2.0 m,79.5 kg
Slowking,"Royal Pokémon
Hexpert Pokémon",Water,Psychic,2.0 m,79.5 kg
Misdreavus,Screech Pokémon,Ghost,,0.7 m,1.0 kg
Unown,Symbol Pokémon,Psychic,,0.5 m,5.0 kg
Wobbuffet,Patient Pokémon,Psychic,,1.3 m,28.5 kg
Girafarig,Long Neck Pokémon,Normal,Psychic,1.5 m,41.5 kg
Pineco,Bagworm Pokémon,Bug,,0.6 m,7.2 kg
Forretress,Bagworm Pokémon,Bug,Steel,1.2 m,125.8 kg
Dunsparce,Land Snake Pokémon,Normal,,1.5 m,14.0 kg
Gligar,Fly Scorpion Pokémon,Ground,Flying,1.1 m,64.8 kg
Steelix,Iron Snake Pokémon,Steel,Ground,9.2 m,400.0 kg
Steelix,Iron Snake Pokémon,Steel,Ground,9.2 m,400.0 kg
Snubbull,Fairy Pokémon,Fairy,,0.6 m,7.8 kg
Granbull,Fairy Pokémon,Fairy,,1.4 m,48.7 kg
Qwilfish,Balloon Pokémon,Water,Poison,0.5 m,3.9 kg
Qwilfish,Balloon Pokémon,Water,Poison,0.5 m,3.9 kg
Scizor,Pincer Pokémon,Bug,Steel,1.8 m,118.0 kg
Scizor,Pincer Pokémon,Bug,Steel,1.8 m,118.0 kg
Shuckle,Mold Pokémon,Bug,Rock,0.6 m,20.5 kg
Heracross,Single Horn Pokémon,Bug,Fighting,1.5 m,54.0 kg
Heracross,Single Horn Pokémon,Bug,Fighting,1.5 m,54.0 kg
Sneasel,Sharp Claw Pokémon,Dark,Ice,0.9 m,28.0 kg
Sneasel,Sharp Claw Pokémon,Dark,Ice,0.9 m,28.0 kg
Teddiursa,Little Bear Pokémon,Normal,,0.6 m,8.8 kg
Ursaring,Hibernator Pokémon,Normal,,1.8 m,125.8 kg
Slugma,Lava Pokémon,Fire,,0.7 m,35.0 kg
Magcargo,Lava Pokémon,Fire,Rock,0.8 m,55.0 kg
Swinub,Pig Pokémon,Ice,Ground,0.4 m,6.5 kg
Piloswine,Swine Pokémon,Ice,Ground,1.1 m,55.8 kg
Corsola,Coral Pokémon,Water,Rock,0.6 m,5.0 kg
Corsola,Coral Pokémon,Water,Rock,0.6 m,5.0 kg
Remoraid,Jet Pokémon,Water,,0.6 m,12.0 kg
Octillery,Jet Pokémon,Water,,0.9 m,28.5 kg
Delibird,Delivery Pokémon,Ice,Flying,0.9 m,16.0 kg
Mantine,Kite Pokémon,Water,Flying,2.1 m,220.0 kg
Skarmory,Armor Bird Pokémon,Steel,Flying,1.7 m,50.5 kg
Skarmory,Armor Bird Pokémon,Steel,Flying,1.7 m,50.5 kg
Houndour,Dark Pokémon,Dark,Fire,0.6 m,10.8 kg
Houndoom,Dark Pokémon,Dark,Fire,1.4 m,35.0 kg
Houndoom,Dark Pokémon,Dark,Fire,1.4 m,35.0 kg
Kingdra,Dragon Pokémon,Water,Dragon,1.8 m,152.0 kg
Phanpy,Long Nose Pokémon,Ground,,0.5 m,33.5 kg
Donphan,Armor Pokémon,Ground,,1.1 m,120.0 kg
Porygon2,Virtual Pokémon,Normal,,0.6 m,32.5 kg
Stantler,Big Horn Pokémon,Normal,,1.4 m,71.2 kg
Smeargle,Painter Pokémon,Normal,,1.2 m,58.0 kg
Tyrogue,Scuffle Pokémon,Fighting,,0.7 m,21.0 kg
Hitmontop,Handstand Pokémon,Fighting,,1.4 m,48.0 kg
Smoochum,Kiss Pokémon,Ice,Psychic,0.4 m,6.0 kg
Elekid,Electric Pokémon,Electric,,0.6 m,23.5 kg
Magby,Live Coal Pokémon,Fire,,0.7 m,21.4 kg
Miltank,Milk Cow Pokémon,Normal,,1.2 m,75.5 kg
Blissey,Happiness Pokémon,Normal,,1.5 m,46.8 kg
Raikou,Thunder Pokémon,Electric,,1.9 m,178.0 kg
Entei,Volcano Pokémon,Fire,,2.1 m,198.0 kg
Suicune,Aurora Pokémon,Water,,2.0 m,187.0 kg
Larvitar,Rock Skin Pokémon,Rock,Ground,0.6 m,72.0 kg
Pupitar,Hard Shell Pokémon,Rock,Ground,1.2 m,152.0 kg
Tyranitar,Armor Pokémon,Rock,Dark,2.0 m,202.0 kg
