Pokemon,Category,Type 1,Type 2,Height (m),Weight (kg)
Hydreigon,Brutal Pokémon,Dark,Dragon,1.8 m,160.0 kg
Larvesta,Torch Pokémon,Bug,Fire,1.1 m,28.8 kg
Volcarona,Sun Pokémon,Bug,Fire,1.6 m,46.0 kg
Cobalion,Iron Will Pokémon,Steel,Fighting,2.1 m,250.0 kg
Terrakion,Cavern Pokémon,Rock,Fighting,1.9 m,260.0 kg
Virizion,Grassland Pokémon,Grass,Fighting,2.0 m,200.0 kg
Tornadus,Cyclone Pokémon,Flying,,1.5 m,63.0 kg
Tornadus,Cyclone Pokémon,Flying,,1.5 m,63.0 kg
Thundurus,Bolt Strike Pokémon,Electric,Flying,1.5 m,61.0 kg
Thundurus,Bolt Strike Pokémon,Electric,Flying,1.5 m,61.0 kg
Reshiram,Vast White Pokémon,Dragon,Fire,3.2 m,330.0 kg
Zekrom,Deep Black Pokémon,Dragon,Electric,2.9 m,345.0 kg
Landorus,Abundance Pokémon,Ground,Flying,1.5 m,68.0 kg
Landorus,Abundance Pokémon,Ground,Flying,1.5 m,68.0 kg
Kyurem,Boundary Pokémon,Dragon,Ice,3.0 m,325.0 kg
Kyurem,Boundary Pokémon,Dragon,Ice,3.0 m,325.0 kg
Kyurem,Boundary Pokémon,Dragon,Ice,3.0 m,325.0 kg
Keldeo,Colt Pokémon,Water,Fighting,1.4 m,48.5 kg
Meloetta,Melody Pokémon,Normal,Psychic,0.6 m,6.5 kg
Meloetta,Melody Pokémon,Normal,Psychic,0.6 m,6.5 kg
Genesect,Paleozoic Pokémon,Bug,Steel,1.5 m,82.5 kg
Chespin,Spiny Nut Pokémon,Grass,,0.4 m,9.0 kg
Quilladin,Spiny Armor Pokémon,Grass,,0.7 m,29.0 kg
Chesnaught,Spiny Armor Pokémon,Grass,Fighting,1.6 m,90.0 kg
Chesnaught,Spiny Armor Pokémon,Grass,Fighting,1.6 m,90.0 kg
Fennekin,Fox Pokémon,Fire,,0.4 m,9.4 kg
Braixen,Fox Pokémon,Fire,,1.0 m,14.5 kg
Delphox,Fox Pokémon,Fire,Psychic,1.5 m,39.0 kg
Delphox,Fox Pokémon,Fire,Psychic,1.5 m,39.0 kg
Froakie,Bubble Frog Pokémon,Water,,0.3 m,7.0 kg
Frogadier,Bubble Frog Pokémon,Water,,0.6 m,10.9 kg
Greninja,Ninja Pokémon,Water,Dark,1.5 m,40.0 kg
Greninja,Ninja Pokémon,Water,Dark,1.5 m,40.0 kg
Greninja,Ninja Pokémon,Water,Dark,1.5 m,40.0 kg
Bunnelby,Digging Pokémon,Normal,,0.4 m,5.0 kg
Diggersby,Digging Pokémon,Normal,Ground,1.0 m,42.4 kg
Fletchling,Tiny Robin Pokémon,Normal,Flying,0.3 m,1.7 kg
Fletchinder,Ember Pokémon,Fire,Flying,0.7 m,16.0 kg
Talonflame,Scorching Pokémon,Fire,Flying,1.2 m,24.5 kg
Scatterbug,Scatterdust Pokémon,Bug,,0.3 m,2.5 kg
Spewpa,Scatterdust Pokémon,Bug,,0.3 m,8.4 kg
Vivillon,Scale Pokémon,Bug,Flying,1.2 m,17.0 kg
Litleo,Lion Cub Pokémon,Fire,Normal,0.6 m,13.5 kg
