Pokemon,Category,Type 1,Type 2,Height (m),Weight (kg)
Farigiraf,Long Neck Pokémon,Normal,Psychic,3.2 m,160.0 kg
Dudunsparce,Land Snake Pokémon,Normal,,3.6 m,39.2 kg
Kingambit,Big Blade Pokémon,Dark,Steel,2.0 m,120.0 kg
Great Tusk,Paradox Pokémon,Ground,Fighting,2.2 m,320.0 kg
Scream Tail,Paradox Pokémon,Fairy,Psychic,1.2 m,8.0 kg
Brute Bonnet,Paradox Pokémon,Grass,Dark,1.2 m,21.0 kg
Flutter Mane,Paradox Pokémon,Ghost,Fairy,1.4 m,4.0 kg
Slither Wing,Paradox Pokémon,Bug,Fighting,3.2 m,92.0 kg
Sandy Shocks,Paradox Pokémon,Electric,Ground,2.3 m,60.0 kg
Iron Treads,Paradox Pokémon,Ground,Steel,0.9 m,240.0 kg
Iron Bundle,Paradox Pokémon,Ice,Water,0.6 m,11.0 kg
Iron Hands,Paradox Pokémon,Fighting,Electric,1.8 m,380.7 kg
Iron Jugulis,Paradox Pokémon,Dark,Flying,1.3 m,111.0 kg
Iron Moth,Paradox Pokémon,Fire,Poison,1.2 m,36.0 kg
Iron Thorns,Paradox Pokémon,Rock,Electric,1.6 m,303.0 kg
Frigibax,Ice Fin Pokémon,Dragon,Ice,0.5 m,17.0 kg
Arctibax,Ice Fin Pokémon,Dragon,Ice,0.8 m,30.0 kg
Baxcalibur,Ice Dragon Pokémon,Dragon,Ice,2.1 m,210.0 kg
Gimmighoul,"Coin Chest Pokémon
Coin Hunter Pokémon",Ghost,,0.3 m,5.0 kg
Gimmighoul,"Coin Chest Pokémon
Coin Hunter Pokémon",Ghost,,0.3 m,5.0 kg
Gholdengo,Coin Entity Pokémon,Steel,Ghost,1.2 m,30.0 kg
Wo-Chien,Ruinous Pokémon,Dark,Grass,1.5 m,74.2 kg
Chien-Pao,Ruinous Pokémon,Dark,Ice,1.9 m,152.2 kg
Ting-Lu,Ruinous Pokémon,Dark,Ground,2.7 m,699.7 kg
Chi-Yu,Ruinous Pokémon,Dark,Fire,0.4 m,4.9 kg
Roaring Moon,Paradox Pokémon,Dragon,Dark,2.0 m,380.0 kg
Iron Valiant,Paradox Pokémon,Fairy,Fighting,1.4 m,35.0 kg
Koraidon,Paradox Pokémon,Fighting,Dragon,2.5 m,303.0 kg
Miraidon,Paradox Pokémon,Electric,Dragon,3.5 m,240.0 kg
Walking Wake,Paradox Pokémon,Water,Dragon,3.5 m,280.0 kg
Iron Leaves,Paradox Pokémon,Grass,Psychic,1.5 m,125.0 kg
Dipplin,Candy Apple Pokémon,Grass,Dragon,0.4 m,4.4 kg
Poltchageist,Matcha Pokémon,Grass,Ghost,0.1 m,1.1 kg
Sinistcha,Matcha Pokémon,Grass,Ghost,0.2 m,2.2 kg
Okidogi,Retainer Pokémon,Poison,Fighting,1.8 m,92.2 kg
Munkidori,Retainer Pokémon,Poison,Psychic,1.0 m,12.2 kg
Fezandipiti,Retainer Pokémon,Poison,Fairy,1.4 m,30.1 kg
Ogerpon,Mask Pokémon,Grass,,1.2 m,39.8 kg
Archaludon,Alloy Pokémon,Steel,Dragon,2.0 m,60.0 kg
Hydrapple,Apple Hydra Pokémon,Grass,Dragon,1.8 m,93.0 kg
Gouging Fire,Paradox Pokémon,Fire,Dragon,3.5 m,590.0 kg
Raging Bolt,Paradox Pokémon,Electric,Dragon,5.2 m,480.0 kg
Iron Boulder,Paradox Pokémon,Rock,Psychic,1.5 m,162.5 kg
Iron Crown,Paradox Pokémon,Steel,Psychic,1.6 m,156.0 kg
Terapagos,Tera Pokémon,Normal,,0.2 m,6.5 kg
Terapagos,Tera Pokémon,Normal,,0.2 m,6.5 kg
Terapagos,Tera Pokémon,Normal,,0.2 m,6.5 kg
Pecharunt,Subjugation Pokémon,Poison,Ghost,0.3 m,0.3 kg
