Pokemon,Category,Type 1,Type 2,Height (m),Weight (kg)
Graveler,Rock Pokémon,Rock,Ground,1.0 m,105.0 kg
Golem,Megaton Pokémon,Rock,Ground,1.4 m,300.0 kg
Golem,Megaton Pokémon,Rock,Ground,1.4 m,300.0 kg
Ponyta,"Fire Horse Pokémon
Unique Horn Pokémon",Fire,,1.0 m,30.0 kg
Ponyta,"Fire Horse Pokémon
Unique Horn Pokémon",Fire,,1.0 m,30.0 kg
Rapidash,"Fire Horse Pokémon
Unique Horn Pokémon",Fire,,1.7 m,95.0 kg
Rapidash,"Fire Horse Pokémon
Unique Horn Pokémon",Fire,,1.7 m,95.0 kg
Slowpoke,Dopey Pokémon,Water,Psychic,1.2 m,36.0 kg
Slowpoke,Dopey Pokémon,Water,Psychic,1.2 m,36.0 kg
Slowbro,Hermit Crab Pokémon,Water,Psychic,1.6 m,78.5 kg
Slowbro,Hermit Crab Pokémon,Water,Psychic,1.6 m,78.5 kg
Slowbro,Hermit Crab Pokémon,Water,Psychic,1.6 m,78.5 kg
Magnemite,Magnet Pokémon,Electric,Steel,0.3 m,6.0 kg
Magneton,Magnet Pokémon,Electric,Steel,1.0 m,60.0 kg
Farfetch'd,Wild Duck Pokémon,Normal,Flying,0.8 m,15.0 kg
Farfetch'd,Wild Duck Pokémon,Normal,Flying,0.8 m,15.0 kg
Doduo,Twin Bird Pokémon,Normal,Flying,1.4 m,39.2 kg
Dodrio,Triple Bird Pokémon,Normal,Flying,1.8 m,85.2 kg
Seel,Sea Lion Pokémon,Water,,1.1 m,90.0 kg
Dewgong,Sea Lion Pokémon,Water,Ice,1.7 m,120.0 kg
Grimer,Sludge Pokémon,Poison,,0.9 m,30.0 kg
Grimer,Sludge Pokémon,Poison,,0.9 m,30.0 kg
Muk,Sludge Pokémon,Poison,,1.2 m,30.0 kg
Muk,Sludge Pokémon,Poison,,1.2 m,30.0 kg
Shellder,Bivalve Pokémon,Water,,0.3 m,4.0 kg
Cloyster,Bivalve Pokémon,Water,Ice,1.5 m,132.5 kg
Gastly,Gas Pokémon,Ghost,Poison,1.3 m,0.1 kg
Haunter,Gas Pokémon,Ghost,Poison,1.6 m,0.1 kg
Gengar,Shadow Pokémon,Ghost,Poison,1.5 m,40.5 kg
Gengar,Shadow Pokémon,Ghost,Poison,1.5 m,40.5 kg
Onix,Rock Snake Pokémon,Rock,Ground,8.8 m,210.0 kg
Drowzee,Hypnosis Pokémon,Psychic,,1.0 m,32.4 kg
Hypno,Hypnosis Pokémon,Psychic,,1.6 m,75.6 kg
Krabby,River Crab Pokémon,Water,,0.4 m,6.5 kg
Kingler,Pincer Pokémon,Water,,1.3 m,60.0 kg
Voltorb,"Ball Pokémon
Sphere Pokémon",Electric,,0.5 m,10.4 kg
Voltorb,"Ball Pokémon
Sphere Pokémon",Electric,,0.5 m,10.4 kg
Electrode,"Ball Pokémon
Sphere Pokémon",Electric,,1.2 m,66.6 kg
Electrode,"Ball Pokémon
Sphere Pokémon",Electric,,1.2 m,66.6 kg
Exeggcute,Egg Pokémon,Grass,Psychic,0.4 m,2.5 kg
Exeggutor,Coconut Pokémon,Grass,Psychic,2.0 m,120.0 kg
Exeggutor,Coconut Pokémon,Grass,Psychic,2.0 m,120.0 kg
Cubone,Lonely Pokémon,Ground,,0.4 m,6.5 kg
Marowak,Bone Keeper Pokémon,Ground,,1.0 m,45.0 kg
Marowak,Bone Keeper Pokémon,Ground,,1.0 m,45.0 kg
Hitmonlee,Kicking Pokémon,Fighting,,1.5 m,49.8 kg
Hitmonchan,Punching Pokémon,Fighting,,1.4 m,50.2 kg
Lickitung,Licking Pokémon,Normal,,1.2 m,65.5 kg
Koffing,Poison Gas Pokémon,Poison,,0.6 m,1.0 kg
Weezing,Poison Gas Pokémon,Poison,,1.2 m,9.5 kg
