Pokemon,Category,Type 1,Type 2,Height (m),Weight (kg)
Zamazenta,Warrior Pokémon,Fighting,,2.9 m,210.0 kg
Eternatus,Gigantic Pokémon,Poison,Dragon,20.0 m,950.0 kg
Eternatus,Gigantic Pokémon,Poison,Dragon,20.0 m,950.0 kg
Kubfu,Wushu Pokémon,Fighting,,0.6 m,12.0 kg
Urshifu,Wushu Pokémon,Fighting,Dark,1.9 m,105.0 kg
Zarude,Rogue Monkey Pokémon,Dark,Grass,1.8 m,70.0 kg
Regieleki,Electron Pokémon,Electric,,1.2 m,145.0 kg
Regidrago,Dragon Orb Pokémon,Dragon,,2.1 m,200.0 kg
Glastrier,Wild Horse Pokémon,Ice,,2.2 m,800.0 kg
Spectrier,Swift Horse Pokémon,Ghost,,2.0 m,44.5 kg
Calyrex,"King Pokémon
High King Pokémon",Psychic,Grass,1.1 m,7.7 kg
Calyrex,"King Pokémon
High King Pokémon",Psychic,Grass,1.1 m,7.7 kg
Calyrex,"King Pokémon
High King Pokémon",Psychic,Grass,1.1 m,7.7 kg
Wyrdeer,Big Horn Pokémon,Normal,Psychic,1.8 m,95.1 kg
Kleavor,Axe Pokémon,Bug,Rock,1.8 m,89.0 kg
Ursaluna,Peat Pokémon,Ground,Normal,2.4 m,290.0 kg
Ursaluna,Peat Pokémon,Ground,Normal,2.4 m,290.0 kg
Basculegion,Big Fish Pokémon,Water,Ghost,3.0 m,110.0 kg
Basculegion,Big Fish Pokémon,Water,Ghost,3.0 m,110.0 kg
Sneasler,Free Climb Pokémon,Fighting,Poison,1.3 m,43.0 kg
Overqwil,Pin Cluster Pokémon,Dark,Poison,2.5 m,60.5 kg
Enamorus,Love-Hate Pokémon,Fairy,Flying,1.6 m,48.0 kg
Enamorus,Love-Hate Pokémon,Fairy,Flying,1.6 m,48.0 kg
Sprigatito,Grass Cat Pokémon,Grass,,0.4 m,4.1 kg
Floragato,Grass Cat Pokémon,Grass,,0.9 m,12.2 kg
Meowscarada,Magician Pokémon,Grass,Dark,1.5 m,31.2 kg
Fuecoco,Fire Croc Pokémon,Fire,,0.4 m,9.8 kg
Crocalor,Fire Croc Pokémon,Fire,,1.0 m,30.7 kg
Skeledirge,Singer Pokémon,Fire,Ghost,1.6 m,326.5 kg
Quaxly,Duckling Pokémon,Water,,0.5 m,6.1 kg
Quaxwell,Practicing Pokémon,Water,,1.2 m,21.5 kg
Quaquaval,Dancer Pokémon,Water,Fighting,1.8 m,61.9 kg
Lechonk,Hog Pokémon,Normal,,0.5 m,10.2 kg
Oinkologne,Hog Pokémon,Normal,,1.0 m,120.0 kg
Oinkologne,Hog Pokémon,Normal,,1.0 m,120.0 kg
Tarountula,String Ball Pokémon,Bug,,0.3 m,4.0 kg
Spidops,Trap Pokémon,Bug,,1.0 m,16.5 kg
Nymble,Grasshopper Pokémon,Bug,,0.2 m,1.0 kg
Lokix,Grasshopper Pokémon,Bug,Dark,1.0 m,17.5 kg
Pawmi,Mouse Pokémon,Electric,,0.3 m,2.5 kg
Pawmo,Mouse Pokémon,Electric,Fighting,0.4 m,6.5 kg
Pawmot,Hands-On Pokémon,Electric,Fighting,0.9 m,41.0 kg
Tandemaus,Couple Pokémon,Normal,,0.3 m,1.8 kg
Maushold,Family Pokémon,Normal,,0.3 m,2.8 kg
Fidough,Puppy Pokémon,Fairy,,0.3 m,10.9 kg
Dachsbun,Dog Pokémon,Fairy,,0.5 m,14.9 kg
Smoliv,Olive Pokémon,Grass,Normal,0.3 m,6.5 kg
Dolliv,Olive Pokémon,Grass,Normal,0.6 m,11.9 kg
Arboliva,Olive Pokémon,Grass,Normal,1.4 m,48.2 kg
Squawkabilly,Parrot Pokémon,Normal,Flying,0.6 m,2.4 kg
Nacli,Rock Salt Pokémon,Rock,,0.4 m,16.0 kg
Naclstack,Rock Salt Pokémon,Rock,,0.6 m,105 kg
Garganacl,Rock Salt Pokémon,Rock,,2.3 m,240.0 kg
Charcadet,Fire Child Pokémon,Fire,,0.6 m,10.5 kg
Armarouge,Fire Warrior Pokémon,Fire,Psychic,1.5 m,85.0 kg
Ceruledge,Fire Blades Pokémon,Fire,Ghost,1.6 m,62.0 kg
Tadbulb,EleTadpole Pokémon,Electric,,0.3 m,0.4 kg
Bellibolt,EleFrog Pokémon,Electric,,1.2 m,113.0 kg
Wattrel,Storm Petrel Pokémon,Electric,Flying,0.4 m,3.6 kg
Kilowattrel,Frigatebird Pokémon,Electric,Flying,1.4 m,38.6 kg
Maschiff,Rascal Pokémon,Dark,,0.5 m,16 kg
Mabosstiff,Boss Pokémon,Dark,,1.1 m,61 kg
Shroodle,Toxic Mouse Pokémon,Poison,Normal,0.2 m,0.7 kg
Grafaiai,Toxic Monkey Pokémon,Poison,Normal,0.7 m,27.2 kg
Bramblin,Tumbleweed Pokémon,Grass,Ghost,0.6 m,0.6 kg
Brambleghast,Tumbleweed Pokémon,Grass,Ghost,1.2 m,6.0 kg
Toedscool,Woodear Pokémon,Ground,Grass,0.9 m,33.0 kg
Toedscruel,Woodear Pokémon,Ground,Grass,1.9 m,58.0 kg
Klawf,Ambush Pokémon,Rock,,1.3 m,79.0 kg
Capsakid,Spicy Pepper Pokémon,Grass,,0.3 m,3.0 kg
Scovillain,Spicy Pepper Pokémon,Grass,Fire,0.9 m,15.0 kg
Rellor,Rolling Pokémon,Bug,,0.2 m,1.0 kg
Rabsca,Rolling Pokémon,Bug,Psychic,0.3 m,3.5 kg
Flittle,Frill Pokémon,Psychic,,0.2 m,1.5 kg
Espathra,Ostrich Pokémon,Psychic,,1.9 m,90.0 kg
Tinkatink,Metalsmith Pokémon,Fairy,Steel,0.4 m,8.9 kg
Tinkatuff,Hammer Pokémon,Fairy,Steel,0.7 m,59.1 kg
Tinkaton,Hammer Pokémon,Fairy,Steel,0.7 m,112.8 kg
Wiglett,Garden Eel Pokémon,Water,,1.2 m,1.8 kg
Wugtrio,Garden Eel Pokémon,Water,,1.2 m,5.4 kg
Bombirdier,Item Drop Pokémon,Flying,Dark,1.5 m,42.9 kg
Finizen,Dolphin Pokémon,Water,,1.3 m,60.2 kg
Palafin,"Dolphin Pokémon
Hero Pokémon",Water,,1.3 m,60.2 kg
Palafin,"Dolphin Pokémon
Hero Pokémon",Water,,1.3 m,60.2 kg
Varoom,Single-Cyl Pokémon,Steel,Poison,1.0 m,35.0 kg
Revavroom,Multi-Cyl Pokémon,Steel,Poison,1.8 m,120.0 kg
Cyclizar,Mount Pokémon,Dragon,Normal,1.6 m,63.0 kg
Orthworm,Earthworm Pokémon,Steel,,2.5 m,310.0 kg
Glimmet,Ore Pokémon,Rock,Poison,0.7 m,8.0 kg
Glimmora,Ore Pokémon,Rock,Poison,1.5 m,45.0 kg
Greavard,Ghost Dog Pokémon,Ghost,,0.6 m,35.0 kg
Houndstone,Ghost Dog Pokémon,Ghost,,2.0 m,15.0 kg
Flamigo,Synchronize Pokémon,Flying,Fighting,1.6 m,37.0 kg
Cetoddle,Terra Whale Pokémon,Ice,,1.2 m,45.0 kg
Cetitan,Terra Whale Pokémon,Ice,,4.5 m,700.0 kg
Veluza,Jettison Pokémon,Water,Psychic,2.5 m,90 kg
Dondozo,Big Catfish Pokémon,Water,,12.0 m,220.0 kg
Tatsugiri,Mimicry Pokémon,Dragon,Water,0.3 m,8.0 kg
Annihilape,Rage Monkey Pokémon,Fighting,Ghost,1.2 m,56.0 kg
Clodsire,Spiny Fish Pokémon,Poison,Ground,1.8 m,223.0 kg
