Pokemon,Category,Type 1,Type 2,Height (m),Weight (kg)
Petilil,Bulb Pokémon,Grass,,0.5 m,6.6 kg
Lilligant,"Flowering Pokémon
Spinning Pokémon",Grass,,1.1 m,16.3 kg
Lilligant,"Flowering Pokémon
Spinning Pokémon",Grass,,1.1 m,16.3 kg
Basculin,"Hostile Pokémon
Mellow Pokémon",Water,,1.0 m,18.0 kg
Sandile,Desert Croc Pokémon,Ground,Dark,0.7 m,15.2 kg
Krokorok,Desert Croc Pokémon,Ground,Dark,1.0 m,33.4 kg
Krookodile,Intimidation Pokémon,Ground,Dark,1.5 m,96.3 kg
Darumaka,Zen Charm Pokémon,Fire,,0.6 m,37.5 kg
Darumaka,Zen Charm Pokémon,Fire,,0.6 m,37.5 kg
Darmanitan,"Blazing Pokémon
Zen Charm Pokémon",Fire,,1.3 m,92.9 kg
Darmanitan,"Blazing Pokémon
Zen Charm Pokémon",Fire,,1.3 m,92.9 kg
Darmanitan,"Blazing Pokémon
Zen Charm Pokémon",Fire,,1.3 m,92.9 kg
Darmanitan,"Blazing Pokémon
Zen Charm Pokémon",Fire,,1.3 m,92.9 kg
Maractus,Cactus Pokémon,Grass,,1.0 m,28.0 kg
Dwebble,Rock Inn Pokémon,Bug,Rock,0.3 m,14.5 kg
Crustle,Stone Home Pokémon,Bug,Rock,1.4 m,200.0 kg
Scraggy,Shedding Pokémon,Dark,Fighting,0.6 m,11.8 kg
Scrafty,Hoodlum Pokémon,Dark,Fighting,1.1 m,30.0 kg
Scrafty,Hoodlum Pokémon,Dark,Fighting,1.1 m,30.0 kg
Sigilyph,Avianoid Pokémon,Psychic,Flying,1.4 m,14.0 kg
Yamask,Spirit Pokémon,Ghost,,0.5 m,1.5 kg
Yamask,Spirit Pokémon,Ghost,,0.5 m,1.5 kg
Cofagrigus,Coffin Pokémon,Ghost,,1.7 m,76.5 kg
Tirtouga,Prototurtle Pokémon,Water,Rock,0.7 m,16.5 kg
Carracosta,Prototurtle Pokémon,Water,Rock,1.2 m,81.0 kg
