Pokemon,Category,Type 1,Type 2,Height (m),Weight (kg)
Tyrunt,Royal Heir Pokémon,Rock,Dragon,0.8 m,26.0 kg
Tyrantrum,Despot Pokémon,Rock,Dragon,2.5 m,270.0 kg
Amaura,Tundra Pokémon,Rock,Ice,1.3 m,25.2 kg
Aurorus,Tundra Pokémon,Rock,Ice,2.7 m,225.0 kg
Sylveon,Intertwining Pokémon,Fairy,,1.0 m,23.5 kg
Hawlucha,Wrestling Pokémon,Fighting,Flying,0.8 m,21.5 kg
Hawlucha,Wrestling Pokémon,Fighting,Flying,0.8 m,21.5 kg
Dedenne,Antenna Pokémon,Electric,Fairy,0.2 m,2.2 kg
Carbink,Jewel Pokémon,Rock,Fairy,0.3 m,5.7 kg
Goomy,Soft Tissue Pokémon,Dragon,,0.3 m,2.8 kg
Sliggoo,"Soft Tissue Pokémon
Snail Pokémon",Dragon,,0.8 m,17.5 kg
Sliggoo,"Soft Tissue Pokémon
Snail Pokémon",Dragon,,0.8 m,17.5 kg
Goodra,"Dragon Pokémon
Shell Bunker Pokémon",Dragon,,2.0 m,150.5 kg
Goodra,"Dragon Pokémon
Shell Bunker Pokémon",Dragon,,2.0 m,150.5 kg
Klefki,Key Ring Pokémon,Steel,Fairy,0.2 m,3.0 kg
Phantump,Stump Pokémon,Ghost,Grass,0.4 m,7.0 kg
Trevenant,Elder Tree Pokémon,Ghost,Grass,1.5 m,71.0 kg
Pumpkaboo,Pumpkin Pokémon,Ghost,Grass,0.3 m,3.5 kg
Pumpkaboo,Pumpkin Pokémon,Ghost,Grass,0.3 m,3.5 kg
Pumpkaboo,Pumpkin Pokémon,Ghost,Grass,0.3 m,3.5 kg
Pumpkaboo,Pumpkin Pokémon,Ghost,Grass,0.3 m,3.5 kg
Gourgeist,Pumpkin Pokémon,Ghost,Grass,0.7 m,9.5 kg
Gourgeist,Pumpkin Pokémon,Ghost,Grass,0.7 m,9.5 kg
Gourgeist,Pumpkin Pokémon,Ghost,Grass,0.7 m,9.5 kg
Gourgeist,Pumpkin Pokémon,Ghost,Grass,0.7 m,9.5 kg
Bergmite,Ice Chunk Pokémon,Ice,,1.0 m,99.5 kg
Avalugg,Iceberg Pokémon,Ice,,2.0 m,505.0 kg
Avalugg,Iceberg Pokémon,Ice,,2.0 m,505.0 kg
Noibat,Sound Wave Pokémon,Flying,Dragon,0.5 m,8.0 kg
Noivern,Sound Wave Pokémon,Flying,Dragon,1.5 m,85.0 kg
Xerneas,Life Pokémon,Fairy,,3.0 m,215.0 kg
Yveltal,Destruction Pokémon,Dark,Flying,5.8 m,203.0 kg
Zygarde,Order Pokémon,Dragon,Ground,5.0 m,305.0 kg
Zygarde,Order Pokémon,Dragon,Ground,5.0 m,305.0 kg
Zygarde,Order Pokémon,Dragon,Ground,5.0 m,305.0 kg
Zygarde,Order Pokémon,Dragon,Ground,5.0 m,305.0 kg
Diancie,Jewel Pokémon,Rock,Fairy,0.7 m,8.8 kg
Diancie,Jewel Pokémon,Rock,Fairy,0.7 m,8.8 kg
Hoopa,"Mischief Pokémon
Djinn Pokémon",Psychic,Ghost,0.5 m,9.0 kg
Hoopa,"Mischief Pokémon
Djinn Pokémon",Psychic,Ghost,0.5 m,9.0 kg
Volcanion,Steam Pokémon,Fire,Water,1.7 m,195.0 kg
Rowlet,Grass Quill Pokémon,Grass,Flying,0.3 m,1.5 kg
Dartrix,Blade Quill Pokémon,Grass,Flying,0.7 m,16.0 kg
Decidueye,Arrow Quill Pokémon,Grass,Ghost,1.6 m,36.6 kg
Decidueye,Arrow Quill Pokémon,Grass,Ghost,1.6 m,36.6 kg
Litten,Fire Cat Pokémon,Fire,,0.4 m,4.3 kg
Torracat,Fire Cat Pokémon,Fire,,0.7 m,25.0 kg
Incineroar,Heel Pokémon,Fire,Dark,1.8 m,83.0 kg
Popplio,Sea Lion Pokémon,Water,,0.4 m,7.5 kg
Brionne,Pop Star Pokémon,Water,,0.6 m,17.5 kg
Primarina,Soloist Pokémon,Water,Fairy,1.8 m,44.0 kg
Pikipek,Woodpecker Pokémon,Normal,Flying,0.3 m,1.2 kg
Trumbeak,Bugle Beak Pokémon,Normal,Flying,0.6 m,14.8 kg
Toucannon,Cannon Pokémon,Normal,Flying,1.1 m,26.0 kg
Yungoos,Loitering Pokémon,Normal,,0.4 m,6.0 kg
Gumshoos,Stakeout Pokémon,Normal,,0.7 m,14.2 kg
Grubbin,Larva Pokémon,Bug,,0.4 m,4.4 kg
Charjabug,Battery Pokémon,Bug,Electric,0.5 m,10.5 kg
Vikavolt,Stag Beetle Pokémon,Bug,Electric,1.5 m,45.0 kg
Crabrawler,Boxing Pokémon,Fighting,,0.6 m,7.0 kg
Crabominable,Woolly Crab Pokémon,Fighting,Ice,1.7 m,180.0 kg
Oricorio,Dancing Pokémon,Fire,Flying,0.6 m,3.4 kg
